country,year,product_group,grouping_level,export_usd_thousand,import_usd_thousand,trade_balance_usd_thousand,export_product_share_pct,import_product_share_pct,ahs_simple_average_pct,ahs_weighted_average_pct,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_pct,ahs_duty_free_tariff_lines_share_pct,ahs_specific_tariff_lines_share_pct,ahs_ave_tariff_lines_share_pct,ahs_maxrate_pct,ahs_minrate_pct,ahs_specificduty_imports_usd_thousand,ahs_dutiable_imports_usd_thousand,ahs_duty_free_imports_usd_thousand,mfn_simple_average_pct,mfn_weighted_average_pct,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_pct,mfn_duty_free_tariff_lines_share_pct,mfn_specific_tariff_lines_share_pct,mfn_ave_tariff_lines_share_pct,mfn_maxrate_pct,mfn_minrate_pct,mfn_specificduty_imports_usd_thousand,mfn_dutiable_imports_usd_thousand,mfn_duty_free_imports_usd_thousand
Mauritius,2023,Consumer goods,Broad Economic Category,463749.71,21525.17,442224.54000000004,78.5,60.67,8.38,5.98,1612.0,90.26,9.24,0.5,0.0,60.0,0.0,59.7,12790.18,7309.42,8.72,14.35,1612.0,94.29,5.09,0.5,0.12,60.12,0.0,59.7,16470.23,3629.36
Mauritius,2023,Intermediate goods,Broad Economic Category,63463.24,6568.42,56894.82,10.74,18.51,6.73,1.95,125.0,85.6,14.4,0.0,0.0,40.0,0.0,0.0,664.6,1509.09,7.49,5.55,125.0,88.0,10.4,0.0,1.6,54.29,0.0,0.0,824.09,1349.6
Mauritius,2023,Raw materials,Broad Economic Category,12071.9,5557.31,6514.589999999999,2.04,15.66,3.09,2.38,63.0,25.4,68.25,6.35,0.0,35.0,0.0,980.52,1100.47,1355.34,3.09,2.38,63.0,25.4,68.25,6.35,0.0,35.0,0.0,980.52,1100.47,1355.34
Mauritius,2023,Animal,Sector,13098.28,3111.76,9986.52,2.22,8.77,1.67,4.49,31.0,3.23,96.77,0.0,0.0,5.0,0.0,0.0,10.11,1.15,1.67,4.49,31.0,3.23,96.77,0.0,0.0,5.0,0.0,0.0,10.11,1.15
Mauritius,2023,Chemicals,Sector,18138.05,201.66,17936.39,3.07,0.57,5.9,3.99,39.0,87.18,12.82,0.0,0.0,40.0,0.0,0.0,96.83,21.73,5.9,3.99,39.0,87.18,12.82,0.0,0.0,40.0,0.0,0.0,96.83,21.73
Mauritius,2023,Food Products,Sector,17672.04,15806.05,1865.9900000000016,2.99,44.55,4.53,0.98,211.0,55.92,40.28,3.79,0.0,60.0,0.0,59.7,2544.15,10430.57,9.18,14.74,211.0,60.66,31.75,3.79,3.79,79.01,0.0,59.7,6416.02,6558.69
Mauritius,2023,Footwear,Sector,3551.75,217.74,3334.01,0.6,0.61,11.79,21.79,135.0,88.89,11.11,0.0,0.0,30.0,0.0,0.0,645.16,0.28,12.45,21.8,135.0,99.26,0.74,0.0,0.0,30.0,0.0,0.0,645.45,0.0
Mauritius,2023,Fuels,Sector,350401.55,52.52,350349.02999999997,59.31,0.15,,,,,,,,,,0.0,52.52,0.0,,,,,,,,,,0.0,52.52,0.0
Mauritius,2023,Hides and Skins,Sector,651.66,534.07,117.58999999999992,0.11,1.51,9.26,11.35,108.0,98.15,1.85,0.0,0.0,40.0,0.0,0.0,686.81,0.05,9.36,11.35,108.0,100.0,0.0,0.0,0.0,40.0,2.5,0.0,686.86,0.0
Mauritius,2023,Mach and Elec,Sector,53021.54,536.1,52485.44,8.97,1.51,4.93,8.97,81.0,55.56,44.44,0.0,0.0,30.0,0.0,0.0,92.03,15.06,4.93,8.97,81.0,55.56,44.44,0.0,0.0,30.0,0.0,0.0,92.03,15.06
Mauritius,2023,Metals,Sector,23240.84,424.28,22816.56,3.93,1.2,5.65,2.53,113.0,89.38,10.62,0.0,0.0,35.0,0.0,0.0,187.33,237.68,5.75,2.54,113.0,96.46,3.54,0.0,0.0,35.0,0.0,0.0,187.39,237.62
Mauritius,2023,Minerals,Sector,11850.54,2.79,11847.75,2.01,0.01,5.0,5.0,5.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,2.79,0.0,5.0,5.0,5.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,2.79,0.0
Mauritius,2023,Miscellaneous,Sector,9393.73,3067.95,6325.78,1.59,8.65,9.96,10.07,310.0,84.84,15.16,0.0,0.0,40.0,0.0,0.0,2921.24,43.74,10.03,10.07,310.0,89.35,10.65,0.0,0.0,40.0,0.0,0.0,2921.39,43.59
Mauritius,2023,Plastic or Rubber,Sector,16647.84,267.42,16380.42,2.82,0.75,5.75,6.41,134.0,97.76,2.24,0.0,0.0,30.0,0.0,0.0,291.45,0.05,5.91,6.41,134.0,100.0,0.0,0.0,0.0,30.0,2.5,0.0,291.51,0.0
Mauritius,2023,Stone and Glass,Sector,14735.22,1293.41,13441.81,2.49,3.65,3.59,0.13,45.0,82.22,17.78,0.0,0.0,5.0,0.0,0.0,33.2,1254.71,4.25,0.13,45.0,91.11,8.89,0.0,0.0,5.0,0.0,0.0,33.53,1254.38
Mauritius,2023,Textiles and Clothing,Sector,7160.84,7216.18,-55.340000000000146,1.21,20.34,8.16,8.61,663.0,98.04,1.96,0.0,0.0,40.0,0.0,0.0,6349.27,7.22,8.38,8.63,663.0,100.0,0.0,0.0,0.0,40.0,5.0,0.0,6356.49,0.0
Mauritius,2023,Transportation,Sector,10503.69,73.55,10430.140000000001,1.78,0.21,11.25,21.35,21.0,100.0,0.0,0.0,0.0,30.0,5.0,0.0,187.09,0.0,11.25,21.35,21.0,100.0,0.0,0.0,0.0,30.0,5.0,0.0,187.09,0.0
Mauritius,2023,Vegetable,Sector,29733.56,2287.87,27445.690000000002,5.03,6.45,2.27,2.5,24.0,45.83,37.5,16.67,0.0,5.0,0.0,980.52,1117.43,1116.58,2.27,2.5,24.0,45.83,37.5,16.67,0.0,5.0,0.0,980.52,1117.43,1116.58
Mauritius,2023,Wood,Sector,10977.52,384.51,10593.01,1.86,1.08,6.42,5.95,87.0,80.46,19.54,0.0,0.0,40.0,0.0,0.0,319.48,0.97,6.42,5.95,87.0,80.46,19.54,0.0,0.0,40.0,0.0,0.0,319.48,0.97
